road,year,month,day,interval,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
희망대로,2023,4,1,대잠사거리 > 한전사거리,69,68,35,34,72,334,743,945,1422,1028,997,951,862,898,924,884,980,1054,1029,611,424,405,298,156
희망대로,2023,4,1,한전사거리 > 대잠사거리,87,52,41,36,59,118,383,396,714,815,890,945,871,1001,918,976,1059,1339,1168,641,396,366,220,129
희망대로,2023,4,1,섬안사거리 > 한전사거리,52,40,33,21,37,85,347,264,482,618,708,810,768,860,800,824,907,1122,1005,503,283,253,165,83
희망대로,2023,4,1,한전사거리 > 섬안사거리,76,57,43,32,79,429,1156,1150,1218,889,783,747,741,930,895,794,867,911,848,538,373,386,275,121
희망대로,2023,4,1,시외버스터미널 > 한전사거리,133,78,58,56,70,237,739,785,683,619,632,673,645,768,702,669,661,668,693,557,447,417,296,169
희망대로,2023,4,1,한전사거리 > 시외버스터미널,96,84,55,34,53,114,313,457,966,905,858,839,761,782,835,791,876,939,866,583,450,377,278,176
희망대로,2023,4,2,대잠사거리 > 한전사거리,69,57,41,47,72,475,1358,1301,1374,1026,884,956,890,860,795,849,890,1054,1166,584,488,440,353,163
희망대로,2023,4,2,한전사거리 > 대잠사거리,90,67,42,51,68,113,441,710,914,819,864,950,969,951,1061,1088,1223,1636,1520,859,462,478,360,141
희망대로,2023,4,2,섬안사거리 > 한전사거리,54,36,36,29,46,80,412,651,742,681,757,823,860,862,976,1007,1096,1434,1349,657,316,343,271,76
희망대로,2023,4,2,한전사거리 > 섬안사거리,82,57,45,48,89,581,1947,1771,1368,1036,829,816,843,867,790,815,757,917,1061,552,430,425,327,144
희망대로,2023,4,2,시외버스터미널 > 한전사거리,133,100,68,72,70,240,1043,1067,803,789,709,719,772,814,759,753,765,748,777,591,474,431,350,168
희망대로,2023,4,2,한전사거리 > 시외버스터미널,111,66,66,51,44,130,562,524,925,800,712,767,752,776,786,776,924,969,904,558,425,381,291,176
희망대로,2023,4,3,대잠사거리 > 한전사거리,106,56,39,31,76,301,1085,1080,1240,899,788,775,747,829,745,718,752,877,899,432,364,305,226,0
희망대로,2023,4,3,한전사거리 > 대잠사거리,51,33,26,16,20,43,215,573,692,725,740,826,810,729,649,909,1021,1338,835,295,290,267,198,0
희망대로,2023,4,3,섬안사거리 > 한전사거리,19,23,13,3,19,24,159,524,499,611,615,642,616,578,438,716,821,1092,631,232,187,178,157,0
희망대로,2023,4,3,한전사거리 > 섬안사거리,80,59,34,30,74,311,1388,1473,1228,952,774,664,692,861,713,664,672,762,707,309,317,314,227,0
희망대로,2023,4,3,시외버스터미널 > 한전사거리,105,65,57,26,6,79,587,774,725,680,648,670,654,723,668,637,683,636,441,196,291,330,252,0
희망대로,2023,4,3,한전사거리 > 시외버스터미널,109,84,61,38,44,66,414,383,819,752,670,705,623,667,678,698,744,798,748,415,369,294,212,0
희망대로,2023,4,4,대잠사거리 > 한전사거리,74,53,47,41,78,444,1339,1174,1311,1003,900,883,787,895,874,881,921,1126,1086,655,449,406,307,163
희망대로,2023,4,4,한전사거리 > 대잠사거리,88,70,62,45,58,97,428,766,933,879,975,992,977,1010,1054,977,1294,1573,1494,802,530,424,256,188
희망대로,2023,4,4,섬안사거리 > 한전사거리,59,47,34,25,38,68,366,712,772,761,824,898,931,926,926,960,1178,1424,1300,680,423,340,175,153
희망대로,2023,4,4,한전사거리 > 섬안사거리,87,51,48,47,95,545,1935,1716,1340,1060,862,779,808,892,835,801,773,934,909,595,402,393,282,158
희망대로,2023,4,4,시외버스터미널 > 한전사거리,93,89,77,74,68,231,975,1070,878,797,789,698,771,791,769,676,756,715,743,529,478,425,341,212
희망대로,2023,4,4,한전사거리 > 시외버스터미널,72,94,59,48,48,131,466,461,900,799,720,786,713,790,823,824,938,1001,945,603,486,425,322,184
희망대로,2023,4,5,대잠사거리 > 한전사거리,118,57,55,38,123,428,1329,1193,1365,997,916,907,828,913,894,856,924,1109,1086,667,504,443,362,219
희망대로,2023,4,5,한전사거리 > 대잠사거리,106,79,58,41,72,122,459,755,879,911,952,1025,1021,961,957,1110,1180,1466,1390,797,453,415,305,179
희망대로,2023,4,5,섬안사거리 > 한전사거리,81,55,46,27,49,85,414,712,729,759,775,944,969,871,853,956,1140,1351,1259,665,342,310,210,130
희망대로,2023,4,5,한전사거리 > 섬안사거리,97,52,55,43,142,510,1911,1611,1321,956,881,765,762,850,782,800,833,841,847,589,511,421,324,201
희망대로,2023,4,5,시외버스터미널 > 한전사거리,152,103,92,62,94,237,1017,1020,836,781,785,692,743,701,653,707,680,610,644,591,588,505,414,254
희망대로,2023,4,5,한전사거리 > 시외버스터미널,151,119,77,40,71,143,470,516,973,863,729,821,746,797,858,845,944,1036,1030,662,514,516,373,250
희망대로,2023,4,6,대잠사거리 > 한전사거리,124,76,50,44,107,263,602,628,683,791,848,973,942,854,886,883,851,949,819,608,494,391,319,0
희망대로,2023,4,6,한전사거리 > 대잠사거리,134,102,65,54,65,118,458,651,584,836,920,1044,1122,983,1015,1171,1088,1077,898,659,389,315,256,0
희망대로,2023,4,6,섬안사거리 > 한전사거리,84,60,52,36,43,93,415,607,493,677,754,864,935,867,816,1056,878,986,734,534,270,223,167,0
희망대로,2023,4,6,한전사거리 > 섬안사거리,114,72,54,47,111,349,923,775,746,811,813,805,825,803,779,764,754,832,712,479,426,372,275,0
희망대로,2023,4,6,시외버스터미널 > 한전사거리,187,157,120,85,83,213,676,592,650,775,772,777,879,785,799,733,806,660,679,524,462,416,335,0
희망대로,2023,4,6,한전사거리 > 시외버스터미널,172,137,93,56,78,120,278,342,602,774,752,904,808,753,807,783,861,908,788,606,481,406,305,0
희망대로,2023,4,7,대잠사거리 > 한전사거리,104,89,47,45,60,214,376,381,428,547,612,600,622,701,769,758,687,872,749,545,528,394,261,163
희망대로,2023,4,7,한전사거리 > 대잠사거리,113,83,67,45,49,93,279,384,417,542,672,778,861,897,930,1018,866,895,829,618,349,317,230,130
희망대로,2023,4,7,섬안사거리 > 한전사거리,67,56,44,39,34,74,242,286,286,363,489,617,718,746,752,867,704,764,681,490,295,232,168,100
희망대로,2023,4,7,한전사거리 > 섬안사거리,88,93,51,55,68,290,564,464,405,467,531,521,551,620,706,689,604,749,682,531,439,361,250,161
희망대로,2023,4,7,시외버스터미널 > 한전사거리,149,164,116,91,78,171,353,375,376,478,560,581,625,724,735,724,652,630,668,546,442,375,308,160
희망대로,2023,4,7,한전사거리 > 시외버스터미널,152,146,110,86,53,84,196,202,336,433,532,525,625,627,714,767,655,765,715,584,484,392,267,182
희망대로,2023,4,8,대잠사거리 > 한전사거리,86,66,34,48,67,514,1362,1304,1411,984,951,958,826,850,875,903,856,1034,962,506,436,369,263,0
희망대로,2023,4,8,한전사거리 > 대잠사거리,83,44,45,33,62,127,421,757,884,800,935,978,859,976,954,1120,1170,1603,1470,676,401,326,241,0
희망대로,2023,4,8,섬안사거리 > 한전사거리,60,29,27,25,42,98,383,720,692,650,731,824,759,858,800,982,1058,1449,1278,581,295,230,163,0
희망대로,2023,4,8,한전사거리 > 섬안사거리,76,57,38,50,85,585,2044,1768,1385,962,872,851,866,957,861,814,776,885,809,471,393,363,278,0
희망대로,2023,4,8,시외버스터미널 > 한전사거리,107,82,50,59,79,234,1056,1104,835,771,783,766,792,864,805,793,775,709,709,499,457,399,293,0
희망대로,2023,4,8,한전사거리 > 시외버스터미널,110,85,49,51,51,165,532,544,1003,853,810,800,725,786,829,901,932,969,800,514,413,375,248,0
희망대로,2023,4,9,대잠사거리 > 한전사거리,83,50,41,52,64,452,1346,1282,1400,1036,936,894,872,966,907,900,850,1037,1037,621,494,386,281,185
희망대로,2023,4,9,한전사거리 > 대잠사거리,85,68,59,55,69,131,430,603,846,877,920,1006,1011,992,1056,1161,1177,1504,1499,809,471,441,292,185
희망대로,2023,4,9,섬안사거리 > 한전사거리,58,50,39,41,51,104,386,512,661,727,791,878,973,926,957,1087,1131,1336,1311,714,375,326,204,135
희망대로,2023,4,9,한전사거리 > 섬안사거리,83,52,48,67,69,555,1946,1636,1314,962,809,790,874,980,917,882,807,886,908,519,458,360,281,173
희망대로,2023,4,9,시외버스터미널 > 한전사거리,144,105,83,74,59,247,1037,990,768,721,676,745,777,826,794,779,752,666,743,532,530,459,367,220
희망대로,2023,4,9,한전사거리 > 시외버스터미널,107,74,61,51,56,126,526,540,940,858,784,772,765,790,798,831,892,964,896,632,479,419,333,213
희망대로,2023,4,10,대잠사거리 > 한전사거리,105,86,48,43,113,277,517,575,584,626,741,882,779,754,770,740,828,748,761,474,405,327,230,0
희망대로,2023,4,10,한전사거리 > 대잠사거리,128,93,66,50,79,128,361,497,499,655,726,755,840,841,856,1060,900,999,785,633,328,307,222,0
희망대로,2023,4,10,섬안사거리 > 한전사거리,94,65,42,41,47,97,327,462,384,488,618,681,748,747,728,967,796,873,673,534,236,208,164,0
희망대로,2023,4,10,한전사거리 > 섬안사거리,105,72,52,58,124,356,799,679,577,552,624,698,673,760,756,659,786,694,683,440,364,299,236,0
희망대로,2023,4,10,시외버스터미널 > 한전사거리,174,162,115,98,85,226,557,511,475,556,640,681,706,777,708,719,726,628,597,455,450,374,320,0
희망대로,2023,4,10,한전사거리 > 시외버스터미널,152,130,104,70,79,127,246,331,466,583,679,792,750,680,745,792,769,730,653,545,431,357,266,0
희망대로,2023,4,11,대잠사거리 > 한전사거리,82,64,29,45,78,443,1285,1282,1452,1083,813,833,902,897,863,873,873,1051,967,594,544,382,300,0
희망대로,2023,4,11,한전사거리 > 대잠사거리,85,70,51,110,73,134,430,749,899,808,869,996,999,967,962,1055,1139,1646,1474,775,434,346,238,0
희망대로,2023,4,11,섬안사거리 > 한전사거리,65,58,43,101,59,100,406,717,751,684,751,919,890,886,840,961,1049,1441,1304,645,361,226,172,0
희망대로,2023,4,11,한전사거리 > 섬안사거리,92,70,48,53,82,497,1817,1702,1480,1212,845,790,930,987,838,828,788,874,804,507,422,368,274,0
희망대로,2023,4,11,시외버스터미널 > 한전사거리,143,117,77,71,58,230,912,997,859,878,773,726,829,836,789,765,750,707,694,536,440,430,317,0
희망대로,2023,4,11,한전사거리 > 시외버스터미널,111,97,58,53,69,149,461,524,953,788,678,739,740,800,826,859,889,943,829,576,509,364,290,0
희망대로,2023,4,12,대잠사거리 > 한전사거리,105,72,44,55,79,401,1141,1209,1543,1075,984,958,879,949,899,893,1046,1028,1060,696,549,422,321,0
희망대로,2023,4,12,한전사거리 > 대잠사거리,91,76,62,52,58,146,409,455,713,761,805,1014,1065,996,1028,1120,1176,1454,1254,711,445,409,283,0
희망대로,2023,4,12,섬안사거리 > 한전사거리,73,52,40,28,37,114,350,359,516,591,683,870,975,912,938,1051,1078,1264,1163,563,302,294,192,0
희망대로,2023,4,12,한전사거리 > 섬안사거리,97,79,48,43,94,503,1705,1549,1465,960,842,806,809,959,899,877,868,892,880,586,482,333,279,0
희망대로,2023,4,12,시외버스터미널 > 한전사거리,164,120,88,58,82,277,959,995,814,720,687,703,771,828,781,743,818,725,647,614,539,463,333,0
희망대로,2023,4,12,한전사거리 > 시외버스터미널,150,95,67,60,49,143,371,543,958,842,817,825,835,821,870,861,1083,979,930,657,535,455,347,0
희망대로,2023,4,13,대잠사거리 > 한전사거리,109,88,44,47,58,280,671,675,844,893,972,990,1079,921,762,720,720,853,750,481,414,366,278,0
희망대로,2023,4,13,한전사거리 > 대잠사거리,108,96,76,56,57,137,410,389,500,726,847,1041,1061,999,937,968,942,1010,840,672,328,319,213,0
희망대로,2023,4,13,섬안사거리 > 한전사거리,61,61,52,27,39,105,343,281,338,569,645,840,932,857,783,895,820,823,712,520,239,238,157,0
희망대로,2023,4,13,한전사거리 > 섬안사거리,104,86,43,53,72,366,1000,802,750,833,810,822,941,815,681,666,653,816,678,425,353,328,233,0
희망대로,2023,4,13,시외버스터미널 > 한전사거리,172,155,115,107,103,222,683,601,548,641,691,744,751,701,673,603,619,671,597,557,447,456,321,0
희망대로,2023,4,13,한전사거리 > 시외버스터미널,149,131,84,63,68,133,269,327,603,739,822,822,910,780,716,749,738,801,747,513,480,371,333,0
희망대로,2023,4,14,대잠사거리 > 한전사거리,115,66,39,31,47,245,433,382,446,479,708,766,739,688,697,637,659,785,714,522,463,361,227,0
희망대로,2023,4,14,한전사거리 > 대잠사거리,116,92,66,57,67,112,310,251,374,508,597,715,816,832,861,889,899,944,763,574,387,299,187,0
희망대로,2023,4,14,섬안사거리 > 한전사거리,67,44,50,35,41,92,247,160,235,342,441,581,652,716,749,804,720,815,688,471,273,217,144,0
희망대로,2023,4,14,한전사거리 > 섬안사거리,109,80,42,34,58,323,601,440,447,427,600,620,632,650,641,540,570,716,650,472,411,352,218,0
희망대로,2023,4,14,시외버스터미널 > 한전사거리,187,181,115,89,96,192,375,366,388,420,511,493,615,650,688,615,641,687,648,504,439,405,294,0
희망대로,2023,4,14,한전사거리 > 시외버스터미널,169,122,103,70,60,94,199,186,284,401,529,614,624,588,652,656,642,775,683,548,422,340,219,0
희망대로,2023,4,15,대잠사거리 > 한전사거리,56,55,55,40,81,483,1377,1188,1321,974,885,889,877,871,812,752,771,919,802,140,344,293,222,0
희망대로,2023,4,15,한전사거리 > 대잠사거리,69,31,39,37,60,130,394,699,854,821,935,1008,964,914,794,917,940,1442,1198,348,301,305,204,0
희망대로,2023,4,15,섬안사거리 > 한전사거리,44,32,26,28,41,87,365,661,708,679,810,927,903,782,666,775,792,1247,1025,252,198,211,136,0
희망대로,2023,4,15,한전사거리 > 섬안사거리,64,44,45,52,90,593,1925,1706,1297,990,902,877,907,919,777,726,731,811,732,123,227,252,207,0
희망대로,2023,4,15,시외버스터미널 > 한전사거리,106,69,56,63,70,273,1003,1062,827,781,805,786,853,807,706,702,717,707,696,385,326,318,250,0
희망대로,2023,4,15,한전사거리 > 시외버스터미널,86,73,55,41,58,135,554,465,916,785,775,861,781,783,768,765,791,855,756,197,321,304,238,0
